Bois_de_chene;MATIERES_PREMIERES
Planches_de_chene; , , / , , / , ,Bois_de_chene;4
cauldron;iron_ingot, ,iron_ingot/iron_ingot, ,iron_ingot/iron_ingot,iron_ingot,iron_ingot;1;ALCHIMIE
shears; , , / ,iron_ingot, /iron_ingot, , ;1;OUTILS
minecart; , , / ,iron_ingot, /iron_ingot,iron_ingot,iron_ingot;1;TRANSPORT
wooden_axe;Planches_de_chene,Planches_de_chene, /Planches_de_chene,stick, / ,stick, ;1;OUTILS
wooden_hoe;Planches_de_chene,Planches_de_chene, / ,stick, / ,stick, ;1;OUTILS
wooden_shovel; ,Planches_de_chene, / ,stick, / ,stick, ;1;OUTILS
wooden_pickaxe;Planches_de_chene,Planches_de_chene,Planches_de_chene/ ,stick, / ,stick, ;1;OUTILS
wooden_sword; ,Planches_de_chene, / ,Planches_de_chene, / ,stick, ;1;ARMES
sign;Planches_de_chene,Planches_de_chene,Planches_de_chene/Planches_de_chene,Planches_de_chene,Planches_de_chene/ ,stick, ;3
oak_boat; , , /Planches_de_chene,wooden_shovel,Planches_de_chene/Planches_de_chene,Planches_de_chene,Planches_de_chene;1;TRANSPORT
boat; , , /Planches_de_chene, ,Planches_de_chene/Planches_de_chene,Planches_de_chene,Planches_de_chene;1;TRANSPORT
dark_oak_door;Planches_de_chene,Planches_de_chene, /Planches_de_chene,Planches_de_chene, /Planches_de_chene,Planches_de_chene, ;3;REDSTONE
bed; , , /Laine_blanche,Laine_blanche,Laine_blanche/Planches_de_chene,Planches_de_chene,Planches_de_chene;1
bowl; , , /Planches_de_chene, ,Planches_de_chene/ ,Planches_de_chene, ;1;NOURRITURE
Bouclier;Planches_de_chene,iron_ingot,Planches_de_chene/Planches_de_chene,Planches_de_chene,Planches_de_chene/ ,Planches_de_chene, ;1;ARMES
Tripwire_haak; ,iron_ingot, / ,stick, / ,Planches_de_chene, ;2;REDSTONE
Barriere_en_bois_de_chene; , , /Planches_de_chene,stick,Planches_de_chene/Planches_de_chene,stick,Planches_de_chene;3
Bouton_en_bois_de_chene; , , / ,Planches_de_chene, / , , ;1;REDSTONE
Composteur;Barriere_en_bois_de_chene, ,Barriere_en_bois_de_chene/Barriere_en_bois_de_chene, ,Barriere_en_bois_de_chene/Planches_de_chene,Planches_de_chene,Planches_de_chene;1
Dalle_en_bois; , , / , , /Planches_de_chene,Planches_de_chene,Planches_de_chene;6
Escaliers_en_bois_de_chene; , ,Planches_de_chene/ ,Planches_de_chene,Planches_de_chene/Planches_de_chene,Planches_de_chene,Planches_de_chene;4
Metier_a_tisser; , , /string,string, /Planches_de_chene,Planches_de_chene, ;1
Trappe_en_bois_de_chene; , , /Planches_de_chene,Planches_de_chene,Planches_de_chene/Planches_de_chene,Planches_de_chene,Planches_de_chene;2;REDSTONE
Tonneau;Planches_de_chene,Trappe_en_bois_de_chene,Planches_de_chene/Planches_de_chene, ,Planches_de_chene/Planches_de_chene,Trappe_en_bois_de_chene,Planches_de_chene;1
Portillon_en_bois_de_chene; , , /stick,Planches_de_chene,stick/stick,Planches_de_chene,stick;1;REDSTONE
Plaque_de_pression_en_bois_de_chene; , , / , , /Planches_de_chene,Planches_de_chene, ;1;REDSTONE
chest;Planches_de_chene,Planches_de_chene,Planches_de_chene/Planches_de_chene, ,Planches_de_chene/Planches_de_chene,Planches_de_chene,Planches_de_chene;1
chest_minecart; , , / ,chest, / ,minecart, ;1;TRANSPORT
Rails;iron_ingot, ,iron_ingot/iron_ingot,stick,iron_ingot/iron_ingot, ,iron_ingot;16;TRANSPORT
Echelle;stick, ,stick/stick,stick,stick/stick, ,stick;3
Barreaux_de_fer; , , /iron_ingot,iron_ingot,iron_ingot/iron_ingot,iron_ingot,iron_ingot;16
Coffre_piege; , , / ,Tripwire_haak,chest/ , , ;1
Banniere_blanche;Laine_blanche,Laine_blanche,Laine_blanche/Laine_blanche,Laine_blanche,Laine_blanche/ ,stick, ;1
Tableau;stick,stick,stick/stick,Laine_blanche,stick/stick,stick,stick;1
Trappe_en_fer; , , /iron_ingot,iron_ingot, /iron_ingot,iron_ingot, ;1;REDSTONE
hooper;iron_ingot, ,iron_ingot/iron_ingot,chest,iron_ingot/ ,iron_ingot, ;1;REDSTONE
Plaque_de_pression_ponderee_lourde; , , /iron_ingot,iron_ingot, / , , ;1;REDSTONE
hopper_minecart; , , / ,hopper, / ,minecart, ;1;TRANSPORT
crossbow;stick,iron_ingot,stick/string,Tripwire_haak,string/ ,stick, ;1;ARMES
rabbit_hide;MATIERES_PREMIERES
leather; , , / ,rabbit_hide,rabbit_hide/ ,rabbit_hide,rabbit_hide;1
leather_horse_armor;leather, ,leather/leather,leather,leather/leather, ,leather;1;ARMURES
leather_boots; , , /leather, ,leather/leather, ,leather;1;ARMURES
leather_helmet; , , /leather,leather,leather/leather, ,leather;1;ARMURES
leather_leggings;leather,leather,leather/leather, ,leather/leather, ,leather;1;ARMURES
leather_chestplate;leather, ,leather/leather,leather,leather/leather,leather,leather;1;ARMURES
item_frame;stick,stick,stick/stick,leather,stick/stick,stick,stick;1
apple;NOURRITURE
